date,category,region,product_id,store_id,predicted_demand,recommended_price,expected_revenue,holiday_promotion
2026-01-09,Clothing,East,P0001,S001,147.75,54.08,7990.69,0
2026-01-09,Clothing,East,P0001,S002,147.75,48.67,7990.14,0
2026-01-09,Clothing,East,P0001,S003,147.75,54.06,7986.64,0
2026-01-09,Clothing,East,P0001,S004,147.75,57.7,7992.46,0
2026-01-09,Clothing,East,P0001,S005,147.75,56.02,8010.2,0
2026-01-09,Clothing,East,P0002,S001,147.75,54.8,8096.22,0
2026-01-09,Clothing,East,P0002,S002,147.75,54.79,8095.67,0
2026-01-09,Clothing,East,P0002,S003,147.75,54.77,8092.12,0
2026-01-09,Clothing,East,P0002,S004,147.75,52.98,8098.01,0
2026-01-09,Clothing,East,P0002,S005,147.75,58.59,8115.99,0
2026-01-09,Clothing,East,P0003,S001,147.75,48.98,8040.26,0
2026-01-09,Clothing,East,P0003,S002,147.75,50.79,8039.72,0
2026-01-09,Clothing,East,P0003,S003,147.75,50.76,8036.2,0
2026-01-09,Clothing,East,P0003,S004,147.75,48.99,8042.05,0
2026-01-09,Clothing,East,P0003,S005,147.75,60.01,8059.9,0
2026-01-09,Clothing,East,P0004,S001,147.75,51.39,8135.95,0
2026-01-09,Clothing,East,P0004,S002,147.75,60.57,8135.4,0
2026-01-09,Clothing,East,P0004,S003,147.75,58.71,8131.84,0
2026-01-09,Clothing,East,P0004,S004,147.75,49.57,8137.76,0
2026-01-09,Clothing,East,P0004,S005,147.75,51.52,8155.82,0
2026-01-09,Clothing,East,P0005,S001,147.75,50.92,8060.46,0
2026-01-09,Clothing,East,P0005,S002,147.75,52.73,8059.91,0
2026-01-09,Clothing,East,P0005,S003,147.75,54.53,8056.38,0
2026-01-09,Clothing,East,P0005,S004,147.75,52.75,8062.24,0
2026-01-09,Clothing,East,P0005,S005,147.75,54.69,8080.14,0
2026-01-09,Clothing,East,P0006,S001,147.75,56.11,8022.93,0
2026-01-09,Clothing,East,P0006,S002,147.75,54.3,8022.38,0
2026-01-09,Clothing,East,P0006,S003,147.75,48.85,8018.87,0
2026-01-09,Clothing,East,P0006,S004,147.75,50.69,8024.71,0
2026-01-09,Clothing,East,P0006,S005,147.75,52.62,8042.52,0
2026-01-09,Clothing,East,P0007,S001,147.75,59.89,8044.98,0
2026-01-09,Clothing,East,P0007,S002,147.75,54.45,8044.43,0
2026-01-09,Clothing,East,P0007,S003,147.75,50.79,8040.9,0
2026-01-09,Clothing,East,P0007,S004,147.75,49.02,8046.76,0
2026-01-09,Clothing,East,P0007,S005,147.75,50.94,8064.62,0
2026-01-09,Clothing,East,P0008,S001,147.75,53.05,8108.19,0
2026-01-09,Clothing,East,P0008,S002,147.75,54.87,8107.64,0
2026-01-09,Clothing,East,P0008,S003,147.75,49.36,8104.08,0
2026-01-09,Clothing,East,P0008,S004,147.75,49.4,8109.98,0
2026-01-09,Clothing,East,P0008,S005,147.75,56.85,8127.99,0
2026-01-09,Clothing,East,P0009,S001,147.75,51.04,8079.89,0
2026-01-09,Clothing,East,P0009,S002,147.75,60.15,8079.34,0
2026-01-09,Clothing,East,P0009,S003,147.75,51.01,8075.8,0
2026-01-09,Clothing,East,P0009,S004,147.75,54.7,8081.68,0
2026-01-09,Clothing,East,P0009,S005,147.75,52.99,8099.62,0
2026-01-09,Clothing,East,P0010,S001,147.75,56.72,8109.88,0
2026-01-09,Clothing,East,P0010,S002,147.75,54.89,8109.33,0
2026-01-09,Clothing,East,P0010,S003,147.75,58.52,8105.78,0
2026-01-09,Clothing,East,P0010,S004,147.75,49.41,8111.68,0
2026-01-09,Clothing,East,P0010,S005,147.75,49.52,8129.69,0
2026-01-09,Clothing,East,P0011,S001,147.75,52.22,8266.96,0
2026-01-09,Clothing,East,P0011,S002,147.75,52.22,8266.4,0
2026-01-09,Clothing,East,P0011,S003,147.75,57.79,8262.78,0
2026-01-09,Clothing,East,P0011,S004,147.75,59.7,8268.8,0
2026-01-09,Clothing,East,P0011,S005,147.75,61.7,8287.15,0
2026-01-09,Clothing,East,P0012,S001,147.75,49.04,8051.23,0
2026-01-09,Clothing,East,P0012,S002,147.75,59.94,8050.68,0
2026-01-09,Clothing,East,P0012,S003,147.75,59.91,8047.16,0
2026-01-09,Clothing,East,P0012,S004,147.75,52.69,8053.01,0
2026-01-09,Clothing,East,P0012,S005,147.75,56.45,8070.89,0
2026-01-09,Clothing,East,P0013,S001,147.75,54.59,8066.16,0
2026-01-09,Clothing,East,P0013,S002,147.75,58.23,8065.61,0
2026-01-09,Clothing,East,P0013,S003,147.75,54.57,8062.07,0
2026-01-09,Clothing,East,P0013,S004,147.75,50.96,8067.94,0
2026-01-09,Clothing,East,P0013,S005,147.75,52.9,8085.85,0
2026-01-09,Clothing,East,P0014,S001,147.75,53.44,8168.56,0
2026-01-09,Clothing,East,P0014,S002,147.75,51.6,8168.01,0
2026-01-09,Clothing,East,P0014,S003,147.75,53.42,8164.43,0
2026-01-09,Clothing,East,P0014,S004,147.75,53.46,8170.37,0
2026-01-09,Clothing,East,P0014,S005,147.75,60.96,8188.51,0
2026-01-09,Clothing,East,P0015,S001,147.75,48.87,8023.41,0
2026-01-09,Clothing,East,P0015,S002,147.75,48.87,8022.87,0
2026-01-09,Clothing,East,P0015,S003,147.75,54.28,8019.35,0
2026-01-09,Clothing,East,P0015,S004,147.75,59.75,8025.19,0
2026-01-09,Clothing,East,P0015,S005,147.75,48.99,8043.0,0
2026-01-09,Clothing,East,P0016,S001,147.75,48.93,8032.39,0
2026-01-09,Clothing,East,P0016,S002,147.75,48.92,8031.85,0
2026-01-09,Clothing,East,P0016,S003,147.75,59.77,8028.33,0
2026-01-09,Clothing,East,P0016,S004,147.75,58.0,8034.17,0
2026-01-09,Clothing,East,P0016,S005,147.75,59.95,8052.01,0
2026-01-09,Clothing,East,P0017,S001,147.75,59.6,8005.22,0
2026-01-09,Clothing,East,P0017,S002,147.75,57.79,8004.68,0
2026-01-09,Clothing,East,P0017,S003,147.75,57.76,8001.17,0
2026-01-09,Clothing,East,P0017,S004,147.75,48.77,8007.0,0
2026-01-09,Clothing,East,P0017,S005,147.75,52.5,8024.77,0
2026-01-09,Clothing,East,P0018,S001,147.75,57.97,8030.22,0
